time,ax,ay,az
86620,-0.38704141975040185,-4.774067171189605,-0.0
86630,-0.35216190635508643,-4.775154761310776,-0.0
86640,-0.31729849566429075,-4.7759828753335425,-0.0
86650,-0.28245317217030963,-4.77655198119812,-0.0
86660,-0.24762791167116036,-4.776862562487803,-0.0
86670,-0.21282468114703193,-4.776915118283556,-0.0
86680,-0.17804543863910102,-4.776710163017785,-0.0
86690,-0.14329213313071198,-4.7762482263273,-0.0
86700,-0.10856670443092095,-4.775529852905523,-0.0
86710,-0.0738710830604042,-4.774555602353993,-0.0
86720,-0.03920719013972672,-4.773326049033153,-0.0
86730,-0.004576937279971122,-4.771841781912523,-0.0
86740,0.030017773524277792,-4.7701034044202615,-0.0
86750,0.06457504999959555,-4.768111534292132,-0.0
86760,0.09909300969603188,-4.7658668034199705,-0.0
86770,0.13356978008708004,-4.76336985769962,-0.0
86780,0.16800349866730793,-4.7606213568784295,-0.0
86790,0.2023923130476555,-4.757621974402322,-0.0
86800,0.23673438104840527,-4.7543723972624505,-0.0
86810,0.27102787078983265,-4.75087332584153,-0.0
86820,0.3052709607805446,-4.747125473759841,-0.0
86830,0.339461840003511,-4.7431295677209215,-0.0
86840,0.37359870799980144,-4.7388863473570435,-0.0
86850,0.407679774950034,-4.734396565074457,-0.0
86860,0.4417032617535434,-4.72966098589843,-0.0
86870,0.4756674001052842,-4.724680387318191,-0.0
86880,0.5095704325704721,-4.719455559131694,-0.0
86890,0.5434106126569779,-4.713987303290325,-0.0
86900,0.577186204885489,-4.708276433743582,-0.0
86910,0.6108954848574394,-4.702323776283678,-0.0
86920,0.6445367393207312,-4.696130168390194,-0.0
86930,0.6781082662332552,-4.689696459074774,-0.0
86940,0.7116083748242245,-4.6830235087258805,-0.0
86950,0.7450353856533276,-4.676112188953632,-0.0
86960,0.7783876306677312,-4.668963382434824,-0.0
86970,0.8116634532569283,-4.661577982758074,-0.0
86980,0.8448612083054549,-4.653956894269152,-0.0
86990,0.8779792622434945,-4.646101031916571,-0.0
87000,0.9110159930953747,-4.638011321097387,-0.0
87010,0.943969790525978,-4.629688697503284,-0.0
87020,0.976839055885085,-4.621134106966986,-0.0
87030,1.0096222022496582,-4.612348505308962,-0.0
87040,1.0423176544640886,-4.603332858184516,-0.0
87050,1.0749238491784263,-4.594088140931267,-0.0
87060,1.1074392348845934,-4.584615338416989,-0.0
87070,1.1398622719506255,-4.5749154448879645,-0.0
87080,1.1721914326529306,-4.56498946381772,-0.0
87090,1.2044252012066061,-4.554838407756304,-0.0
87100,1.236562073793814,-4.54446329818004,-0.0
87110,1.2686005585902438,-4.533865165341813,-0.0
87120,1.300539175789685,-4.523045048121948,-0.0
87130,1.332376457626713,-4.51200399387962,-0.0
87140,1.3641109483975196,-4.500743058304887,-0.0
87150,1.395741204478908,-4.489263305271348,-0.0
87160,1.4272657943454647,-4.477565806689448,-0.0
87170,1.4586832985849283,-4.465651642360424,-0.0
87180,1.4899923099117884,-4.4535218998309745,-0.0
87190,1.521191433179117,-4.441177674248608,-0.0
87200,1.5522792853886598,-4.42862006821773,-0.0
